14121,location 118,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-19 - 19 - ,-resource_type 2 - ,-severity_type 2 - ,1
15176,location 1100,-event_type 11 - event_type 15 - ,-feature 82 - feature 203 - feature 71 - feature 193 - ,-39 - 21 - 4 - 3 - ,-resource_type 8 - ,-severity_type 1 - ,2
7561,location 33,-event_type 10 - ,-feature 39 - feature 37 - feature 38 - feature 154 - ,-5 - 1 - 10 - 3 - ,-resource_type 3 - ,-severity_type 4 - ,0
13273,location 1010,-event_type 11 - ,-feature 195 - feature 73 - ,-2 - 4 - ,-resource_type 8 - ,-severity_type 2 - ,1
7155,location 989,-event_type 11 - ,-feature 170 - feature 54 - ,-2 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,1
14336,location 1106,-event_type 11 - ,-feature 68 - feature 206 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 2 - ,1
1225,location 1033,-event_type 11 - ,-feature 170 - feature 54 - ,-2 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,1
6798,location 638,-event_type 44 - event_type 42 - ,-feature 283 - feature 291 - feature 376 - feature 368 - ,-4 - 4 - 10 - 10 - ,-resource_type 2 - ,-severity_type 1 - ,2
13838,location 1007,-event_type 11 - event_type 15 - ,-feature 80 - feature 201 - ,-6 - 3 - ,-resource_type 8 - ,-severity_type 1 - ,0
16301,location 380,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-1 - 7 - ,-resource_type 2 - ,-severity_type 2 - ,0
10522,location 378,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-3 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,0
9350,location 1111,-event_type 11 - ,-feature 68 - feature 170 - feature 54 - ,-1 - 2 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,1
14288,location 125,-event_type 35 - event_type 34 - ,-feature 235 - feature 313 - feature 315 - feature 232 - feature 312 - feature 233 - ,-3 - 3 - 3 - 2 - 2 - 3 - ,-resource_type 2 - ,-severity_type 2 - ,0
8496,location 460,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-6 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,1
7976,location 144,-event_type 35 - event_type 34 - ,-feature 221 - feature 301 - ,-1 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,1
6691,location 644,-event_type 44 - event_type 42 - ,-feature 283 - feature 376 - feature 368 - feature 291 - ,-1 - 3 - 3 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,1
13046,location 845,-event_type 15 - ,-feature 203 - feature 82 - ,-3 - 20 - ,-resource_type 8 - ,-severity_type 2 - ,1
17991,location 430,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-5 - 5 - ,-resource_type 2 - ,-severity_type 2 - ,0
8063,location 944,-event_type 11 - ,-feature 54 - ,-2 - ,-resource_type 8 - ,-severity_type 1 - ,1
14890,location 760,-event_type 11 - ,-feature 54 - feature 170 - ,-6 - 3 - ,-resource_type 8 - ,-severity_type 1 - ,0
7432,location 1061,-event_type 15 - event_type 11 - ,-feature 203 - feature 201 - feature 82 - feature 80 - ,-15 - 5 - 28 - 9 - ,-resource_type 8 - ,-severity_type 1 - ,2
2348,location 615,-event_type 11 - ,-feature 55 - ,-2 - ,-resource_type 8 - ,-severity_type 2 - ,0
4736,location 244,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-25 - 29 - ,-resource_type 2 - ,-severity_type 2 - ,0
5098,location 902,-event_type 23 - event_type 11 - ,-feature 306 - feature 75 - ,-2 - 1 - ,-resource_type 8 - resource_type 7 - ,-severity_type 2 - ,0
4357,location 891,-event_type 11 - ,-feature 195 - feature 73 - ,-5 - 7 - ,-resource_type 8 - ,-severity_type 1 - ,0
1367,location 808,-event_type 11 - event_type 15 - ,-feature 71 - feature 193 - ,-6 - 6 - ,-resource_type 8 - ,-severity_type 1 - ,0
9480,location 989,-event_type 11 - ,-feature 68 - feature 170 - ,-19 - 21 - ,-resource_type 8 - ,-severity_type 1 - ,2
16087,location 141,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - feature 301 - feature 221 - feature 227 - feature 307 - ,-1 - 1 - 1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
14487,location 763,-event_type 11 - event_type 15 - ,-feature 193 - feature 203 - feature 71 - feature 82 - ,-19 - 2 - 23 - 4 - ,-resource_type 8 - ,-severity_type 1 - ,0
2488,location 133,-event_type 34 - event_type 35 - ,-feature 313 - feature 312 - feature 232 - feature 315 - feature 233 - ,-2 - 3 - 3 - 1 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,0
2233,location 839,-event_type 11 - ,-feature 170 - ,-3 - ,-resource_type 8 - ,-severity_type 1 - ,1
5418,location 538,-event_type 11 - ,-feature 171 - feature 55 - ,-2 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,1
5950,location 984,-event_type 13 - ,-feature 273 - ,-1 - ,-resource_type 6 - ,-severity_type 1 - ,1
11295,location 643,-event_type 50 - ,-feature 289 - ,-1 - ,-resource_type 2 - ,-severity_type 1 - ,1
853,location 159,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-16 - 16 - ,-resource_type 2 - ,-severity_type 2 - ,0
17202,location 1054,-event_type 11 - ,-feature 73 - feature 195 - ,-3 - 5 - ,-resource_type 8 - ,-severity_type 1 - ,0
13421,location 413,-event_type 11 - ,-feature 160 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - ,0
2250,location 1,-event_type 15 - event_type 11 - ,-feature 193 - feature 71 - ,-3 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,0
555,location 834,-event_type 15 - ,-feature 203 - feature 82 - ,-11 - 27 - ,-resource_type 8 - ,-severity_type 2 - ,0
15294,location 600,-event_type 15 - event_type 11 - ,-feature 82 - feature 203 - ,-20 - 5 - ,-resource_type 8 - ,-severity_type 1 - ,0
9632,location 1112,-event_type 11 - ,-feature 170 - feature 54 - feature 62 - feature 83 - feature 87 - feature 182 - feature 209 - feature 204 - ,-18 - 18 - 1 - 2 - 4 - 1 - 4 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,2
2224,location 1099,-event_type 11 - ,-feature 171 - feature 55 - ,-12 - 9 - ,-resource_type 8 - ,-severity_type 1 - ,1
9909,location 389,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
9730,location 1100,-event_type 11 - event_type 15 - ,-feature 82 - feature 71 - feature 203 - ,-50 - 1 - 3 - ,-resource_type 8 - ,-severity_type 1 - ,1
9617,location 91,-event_type 35 - event_type 34 - ,-feature 307 - feature 227 - feature 232 - feature 312 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
16268,location 837,-event_type 23 - event_type 20 - event_type 13 - event_type 14 - event_type 11 - ,-feature 345 - feature 68 - feature 164 - feature 48 - feature 134 - feature 306 - ,-1 - 2 - 1 - 1 - 2 - 2 - ,-resource_type 2 - resource_type 8 - resource_type 6 - resource_type 4 - resource_type 7 - ,-severity_type 1 - ,1
12532,location 915,-event_type 11 - ,-feature 207 - feature 155 - ,-1 - 10 - ,-resource_type 8 - ,-severity_type 1 - ,2
3832,location 519,-event_type 35 - event_type 34 - ,-feature 315 - feature 313 - feature 235 - feature 312 - feature 233 - feature 232 - ,-1 - 1 - 1 - 2 - 1 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,0
1971,location 79,-event_type 54 - event_type 10 - event_type 28 - event_type 27 - ,-feature 127 - feature 212 - feature 240 - feature 39 - feature 154 - ,-2 - 4 - 1 - 1 - 1 - ,-resource_type 3 - resource_type 2 - resource_type 9 - ,-severity_type 1 - ,1
7978,location 1025,-event_type 20 - ,-feature 134 - feature 219 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,0
15634,location 471,-event_type 35 - event_type 34 - ,-feature 313 - feature 312 - feature 232 - ,-1 - 66 - 103 - ,-resource_type 2 - ,-severity_type 2 - ,0
360,location 834,-event_type 15 - ,-feature 203 - feature 82 - ,-6 - 8 - ,-resource_type 8 - ,-severity_type 2 - ,2
4965,location 476,-event_type 34 - event_type 35 - ,-feature 314 - feature 309 - feature 234 - ,-33 - 5 - 19 - ,-resource_type 2 - ,-severity_type 2 - ,0
5823,location 460,-event_type 34 - event_type 35 - ,-feature 229 - feature 232 - feature 312 - feature 309 - feature 234 - feature 314 - ,-1 - 5 - 6 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,1
6720,location 878,-event_type 11 - ,-feature 73 - ,-4 - ,-resource_type 8 - ,-severity_type 1 - ,0
11430,location 135,-event_type 20 - event_type 34 - event_type 35 - ,-feature 312 - feature 313 - feature 233 - feature 219 - feature 232 - ,-12 - 1 - 1 - 1 - 12 - ,-resource_type 2 - ,-severity_type 1 - ,0
15572,location 691,-event_type 22 - event_type 23 - event_type 11 - ,-feature 114 - feature 75 - feature 222 - feature 306 - ,-1 - 10 - 1 - 7 - ,-resource_type 7 - resource_type 8 - ,-severity_type 2 - ,1
5933,location 878,-event_type 11 - ,-feature 68 - feature 73 - feature 195 - ,-1 - 3 - 4 - ,-resource_type 8 - ,-severity_type 1 - ,0
16579,location 535,-event_type 10 - ,-feature 153 - feature 38 - feature 152 - ,-4 - 1 - 1 - ,-resource_type 3 - ,-severity_type 5 - ,0
6723,location 500,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-2 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
9797,location 891,-event_type 11 - ,-feature 73 - feature 195 - ,-39 - 37 - ,-resource_type 8 - ,-severity_type 1 - ,0
17372,location 127,-event_type 34 - event_type 35 - ,-feature 235 - feature 313 - feature 233 - feature 307 - feature 232 - feature 315 - feature 312 - feature 227 - ,-1 - 5 - 5 - 2 - 3 - 1 - 3 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
8052,location 704,-event_type 11 - event_type 15 - ,-feature 82 - feature 203 - feature 80 - feature 201 - ,-33 - 25 - 2 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,2
2983,location 676,-event_type 11 - event_type 20 - ,-feature 55 - feature 171 - feature 134 - ,-4 - 6 - 1 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - ,1
3973,location 470,-event_type 20 - event_type 36 - ,-feature 219 - feature 237 - feature 134 - ,-1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,0
15719,location 126,-event_type 34 - event_type 35 - ,-feature 313 - feature 235 - feature 232 - feature 233 - feature 315 - feature 307 - feature 312 - ,-18 - 3 - 7 - 18 - 3 - 3 - 8 - ,-resource_type 2 - ,-severity_type 2 - ,0
11065,location 810,-event_type 11 - event_type 54 - event_type 15 - ,-feature 172 - feature 56 - feature 82 - ,-4 - 7 - 4 - ,-resource_type 8 - ,-severity_type 1 - ,1
2166,location 707,-event_type 15 - ,-feature 71 - ,-4 - ,-resource_type 8 - ,-severity_type 2 - ,0
5049,location 846,-event_type 15 - ,-feature 203 - feature 82 - ,-1 - 19 - ,-resource_type 8 - ,-severity_type 2 - ,0
14381,location 652,-event_type 15 - ,-feature 80 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - ,0
12230,location 166,-event_type 34 - event_type 35 - ,-feature 232 - feature 313 - feature 227 - feature 307 - feature 312 - ,-1 - 1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
18230,location 931,-event_type 15 - ,-feature 201 - feature 80 - ,-1 - 9 - ,-resource_type 8 - ,-severity_type 2 - ,0
13836,location 107,-event_type 35 - event_type 34 - ,-feature 301 - feature 307 - feature 221 - feature 232 - feature 312 - ,-1 - 1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,1
11474,location 533,-event_type 21 - event_type 11 - ,-feature 55 - feature 135 - feature 171 - feature 220 - ,-5 - 1 - 8 - 1 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - ,0
17135,location 1044,-event_type 11 - ,-feature 73 - feature 195 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 2 - ,0
5184,location 1018,-event_type 11 - event_type 2 - event_type 15 - ,-feature 137 - feature 201 - feature 2 - feature 80 - ,-1 - 1 - 1 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,1
17301,location 895,-event_type 42 - event_type 43 - event_type 44 - ,-feature 376 - feature 291 - feature 375 - feature 368 - feature 283 - ,-4 - 3 - 4 - 4 - 3 - ,-resource_type 2 - ,-severity_type 1 - ,1
10590,location 475,-event_type 35 - event_type 34 - ,-feature 314 - feature 312 - feature 307 - feature 234 - feature 232 - ,-12 - 2 - 1 - 11 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
14040,location 135,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - feature 315 - feature 233 - feature 235 - feature 313 - ,-21 - 21 - 1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
5527,location 742,-event_type 54 - event_type 15 - ,-feature 80 - ,-2 - ,-resource_type 8 - resource_type 2 - ,-severity_type 2 - ,0
69,location 875,-event_type 11 - ,-feature 82 - feature 203 - ,-2 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,1
1284,location 600,-event_type 15 - ,-feature 203 - feature 82 - ,-5 - 9 - ,-resource_type 8 - ,-severity_type 2 - ,0
15406,location 157,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-2 - 3 - ,-resource_type 2 - ,-severity_type 2 - ,0
14294,location 133,-event_type 34 - event_type 35 - ,-feature 313 - feature 233 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
15367,location 962,-event_type 15 - ,-feature 203 - feature 82 - ,-10 - 19 - ,-resource_type 8 - ,-severity_type 2 - ,1
504,location 798,-event_type 15 - event_type 11 - ,-feature 82 - feature 203 - ,-11 - 10 - ,-resource_type 8 - ,-severity_type 1 - ,0
13828,location 812,-event_type 11 - ,-feature 18 - feature 51 - feature 101 - ,-1 - 647 - 574 - ,-resource_type 8 - ,-severity_type 1 - ,0
5307,location 520,-event_type 34 - event_type 35 - ,-feature 313 - feature 232 - feature 312 - ,-1 - 6 - 6 - ,-resource_type 2 - ,-severity_type 2 - ,0
16911,location 882,-event_type 11 - ,-feature 55 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - ,0
14064,location 380,-event_type 20 - event_type 35 - event_type 34 - ,-feature 312 - feature 219 - feature 232 - feature 134 - ,-8 - 1 - 6 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,0
6551,location 810,-event_type 15 - ,-feature 203 - feature 82 - feature 71 - ,-1 - 20 - 4 - ,-resource_type 8 - ,-severity_type 2 - ,1
17519,location 662,-event_type 11 - ,-feature 170 - feature 85 - feature 54 - ,-1 - 1 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,0
18021,location 878,-event_type 11 - ,-feature 68 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - ,0
12418,location 864,-event_type 24 - ,-feature 318 - feature 239 - ,-2 - 2 - ,-resource_type 2 - ,-severity_type 1 - ,1
10663,location 89,-event_type 34 - event_type 35 - ,-feature 233 - feature 313 - feature 232 - feature 312 - ,-21 - 32 - 70 - 89 - ,-resource_type 2 - ,-severity_type 2 - ,0
7027,location 963,-event_type 11 - ,-feature 73 - feature 195 - ,-35 - 9 - ,-resource_type 8 - ,-severity_type 1 - ,0
3896,location 1095,-event_type 11 - event_type 13 - ,-feature 273 - feature 68 - ,-1 - 1 - ,-resource_type 6 - resource_type 8 - ,-severity_type 1 - ,0
14304,location 495,-event_type 35 - event_type 34 - ,-feature 314 - feature 315 - feature 312 - feature 232 - feature 229 - feature 233 - feature 308 - feature 307 - feature 234 - feature 309 - feature 316 - feature 311 - feature 228 - feature 313 - ,-5 - 5 - 68 - 111 - 18 - 68 - 3 - 8 - 7 - 9 - 4 - 3 - 2 - 63 - ,-resource_type 2 - ,-severity_type 2 - ,0
1485,location 702,-event_type 11 - ,-feature 54 - feature 170 - ,-2 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,0
3018,location 891,-event_type 11 - ,-feature 195 - feature 73 - ,-11 - 20 - ,-resource_type 8 - ,-severity_type 1 - ,0
8413,location 493,-event_type 34 - event_type 35 - ,-feature 314 - feature 309 - feature 312 - feature 235 - feature 234 - feature 316 - feature 232 - feature 230 - feature 236 - ,-11 - 4 - 3 - 2 - 7 - 7 - 3 - 2 - 8 - ,-resource_type 2 - ,-severity_type 2 - ,0
15975,location 311,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-2 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,1
1416,location 325,-event_type 35 - ,-feature 308 - feature 310 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 4 - ,0
9114,location 829,-event_type 11 - ,-feature 161 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - ,0
3272,location 406,-event_type 35 - event_type 34 - ,-feature 312 - feature 228 - feature 314 - feature 232 - feature 234 - feature 308 - feature 309 - feature 229 - ,-1 - 1 - 1 - 1 - 1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,1
12988,location 1024,-event_type 11 - ,-feature 195 - feature 73 - ,-2 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,0
12017,location 995,-event_type 15 - ,-feature 71 - feature 80 - feature 82 - ,-8 - 2 - 16 - ,-resource_type 8 - ,-severity_type 2 - ,0
1349,location 1007,-event_type 15 - ,-feature 201 - feature 80 - ,-1 - 3 - ,-resource_type 8 - ,-severity_type 2 - ,0
18442,location 902,-event_type 23 - ,-feature 306 - feature 223 - ,-1 - 1 - ,-resource_type 7 - ,-severity_type 4 - ,1
15548,location 765,-event_type 11 - ,-feature 187 - feature 65 - ,-2 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,0
8658,location 459,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
9404,location 627,-event_type 23 - ,-feature 224 - ,-2 - ,-resource_type 7 - ,-severity_type 4 - ,1
18122,location 384,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-9 - 9 - ,-resource_type 2 - ,-severity_type 2 - ,0
3996,location 405,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-6 - 10 - ,-resource_type 2 - ,-severity_type 2 - ,0
9463,location 118,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-13 - 14 - ,-resource_type 2 - ,-severity_type 2 - ,0
5696,location 657,-event_type 23 - ,-feature 306 - ,-1 - ,-resource_type 7 - ,-severity_type 4 - ,0
9236,location 845,-event_type 15 - ,-feature 203 - feature 82 - ,-5 - 8 - ,-resource_type 8 - ,-severity_type 2 - ,2
9366,location 976,-event_type 11 - event_type 15 - ,-feature 193 - feature 201 - feature 71 - feature 82 - feature 80 - ,-1 - 1 - 2 - 2 - 3 - ,-resource_type 8 - ,-severity_type 1 - ,1
10826,location 735,-event_type 11 - ,-feature 55 - feature 171 - ,-6 - 5 - ,-resource_type 8 - ,-severity_type 1 - ,0
15014,location 457,-event_type 34 - event_type 35 - ,-feature 232 - feature 315 - feature 316 - feature 312 - feature 235 - feature 233 - feature 313 - ,-1 - 5 - 1 - 1 - 1 - 17 - 19 - ,-resource_type 2 - ,-severity_type 2 - ,0
5671,location 831,-event_type 20 - ,-feature 219 - feature 134 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,0
11396,location 218,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,1
17561,location 477,-event_type 34 - event_type 35 - ,-feature 309 - feature 229 - feature 234 - feature 314 - ,-32 - 26 - 52 - 62 - ,-resource_type 2 - ,-severity_type 2 - ,0
9313,location 100,-event_type 35 - event_type 34 - event_type 20 - ,-feature 301 - feature 219 - feature 221 - feature 134 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,0
14155,location 149,-event_type 35 - event_type 34 - ,-feature 313 - feature 233 - feature 235 - feature 315 - ,-2 - 2 - 57 - 60 - ,-resource_type 2 - ,-severity_type 2 - ,0
14700,location 962,-event_type 15 - ,-feature 82 - feature 203 - ,-14 - 8 - ,-resource_type 8 - ,-severity_type 2 - ,0
10876,location 344,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-2 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,1
6699,location 639,-event_type 47 - event_type 46 - ,-feature 285 - feature 369 - feature 370 - feature 122 - feature 284 - ,-9 - 3 - 3 - 1 - 10 - ,-resource_type 2 - ,-severity_type 1 - ,0
5502,location 479,-event_type 35 - event_type 34 - ,-feature 234 - feature 232 - feature 314 - feature 312 - ,-41 - 1 - 48 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,0
13573,location 925,-event_type 11 - ,-feature 207 - feature 182 - feature 68 - feature 170 - feature 54 - ,-1 - 1 - 9 - 7 - 4 - ,-resource_type 8 - ,-severity_type 1 - ,0
13685,location 892,-event_type 43 - event_type 44 - event_type 42 - ,-feature 376 - feature 283 - feature 375 - feature 290 - feature 291 - feature 368 - ,-4 - 2 - 3 - 1 - 2 - 4 - ,-resource_type 2 - ,-severity_type 1 - ,1
8599,location 1026,-event_type 11 - event_type 13 - ,-feature 68 - feature 273 - feature 54 - feature 170 - ,-5 - 1 - 3 - 3 - ,-resource_type 6 - resource_type 8 - ,-severity_type 1 - ,1
8475,location 238,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,1
6019,location 21,-event_type 11 - event_type 54 - ,-feature 55 - feature 171 - ,-3 - 2 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - ,1
17293,location 95,-event_type 35 - ,-feature 312 - ,-1 - ,-resource_type 2 - ,-severity_type 4 - ,0
17774,location 894,-event_type 44 - event_type 42 - event_type 43 - ,-feature 291 - feature 376 - feature 368 - feature 283 - feature 375 - ,-5 - 6 - 6 - 4 - 4 - ,-resource_type 2 - ,-severity_type 1 - ,0
17473,location 477,-event_type 34 - event_type 35 - ,-feature 309 - feature 229 - feature 314 - feature 232 - feature 234 - feature 312 - ,-3 - 3 - 4 - 4 - 3 - 4 - ,-resource_type 2 - ,-severity_type 2 - ,0
4454,location 734,-event_type 11 - event_type 15 - ,-feature 71 - feature 82 - feature 193 - feature 203 - ,-10 - 2 - 8 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,1
8844,location 373,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-66 - 69 - ,-resource_type 2 - ,-severity_type 2 - ,0
7682,location 923,-event_type 11 - ,-feature 73 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - ,0
6604,location 877,-event_type 54 - ,-feature 360 - feature 362 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 4 - ,1
15103,location 206,-event_type 34 - event_type 35 - ,-feature 313 - feature 233 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
1079,location 135,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-1 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,1
10261,location 979,-event_type 6 - event_type 11 - ,-feature 68 - ,-1 - ,-resource_type 8 - resource_type 1 - ,-severity_type 2 - ,0
5159,location 268,-event_type 34 - event_type 35 - ,-feature 313 - feature 232 - feature 312 - feature 307 - feature 227 - ,-1 - 2 - 1 - 1 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,0
17666,location 494,-event_type 34 - event_type 35 - ,-feature 229 - feature 316 - feature 233 - feature 232 - feature 228 - feature 313 - feature 315 - feature 310 - feature 234 - feature 312 - feature 314 - feature 311 - feature 308 - feature 309 - ,-5 - 2 - 46 - 91 - 7 - 44 - 13 - 8 - 5 - 70 - 4 - 1 - 4 - 4 - ,-resource_type 2 - ,-severity_type 2 - ,0
1967,location 203,-event_type 34 - event_type 35 - ,-feature 227 - feature 307 - feature 312 - feature 232 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
13378,location 1107,-event_type 15 - event_type 11 - ,-feature 193 - feature 71 - feature 82 - feature 203 - ,-5 - 7 - 30 - 25 - ,-resource_type 8 - ,-severity_type 1 - ,2
13571,location 794,-event_type 11 - event_type 20 - event_type 14 - ,-feature 47 - feature 219 - feature 134 - feature 163 - ,-1 - 1 - 1 - 4 - ,-resource_type 4 - resource_type 2 - resource_type 8 - ,-severity_type 1 - ,0
5806,location 1063,-event_type 11 - ,-feature 73 - feature 195 - ,-12 - 16 - ,-resource_type 8 - ,-severity_type 1 - ,0
4248,location 53,-event_type 20 - ,-feature 134 - feature 219 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,1
15658,location 478,-event_type 35 - event_type 34 - ,-feature 314 - feature 309 - feature 234 - feature 229 - ,-20 - 7 - 12 - 4 - ,-resource_type 2 - ,-severity_type 2 - ,0
10745,location 469,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
4959,location 607,-event_type 11 - event_type 40 - ,-feature 145 - feature 96 - feature 16 - feature 46 - feature 10 - ,-13 - 5 - 10 - 1 - 14 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - ,0
13346,location 102,-event_type 35 - event_type 34 - ,-feature 233 - feature 313 - feature 314 - feature 234 - ,-2 - 2 - 2 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,1
8767,location 508,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-23 - 23 - ,-resource_type 2 - ,-severity_type 2 - ,0
16171,location 830,-event_type 11 - ,-feature 170 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - ,1
9271,location 1066,-event_type 11 - event_type 13 - ,-feature 68 - feature 273 - ,-1 - 1 - ,-resource_type 8 - resource_type 6 - ,-severity_type 1 - ,1
14039,location 839,-event_type 11 - ,-feature 170 - ,-2 - ,-resource_type 8 - ,-severity_type 1 - ,0
8397,location 475,-event_type 34 - event_type 35 - ,-feature 234 - feature 314 - ,-3 - 10 - ,-resource_type 2 - ,-severity_type 2 - ,0
14127,location 821,-event_type 54 - event_type 15 - ,-feature 82 - feature 203 - ,-6 - 6 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - ,1
3081,location 724,-event_type 11 - event_type 32 - ,-feature 170 - feature 54 - feature 280 - ,-5 - 5 - 7 - ,-resource_type 8 - ,-severity_type 1 - ,1
6638,location 1019,-event_type 15 - ,-feature 201 - feature 80 - feature 82 - ,-1 - 2 - 34 - ,-resource_type 8 - ,-severity_type 2 - ,0
2566,location 793,-event_type 11 - ,-feature 195 - feature 73 - ,-4 - 5 - ,-resource_type 8 - ,-severity_type 1 - ,0
7305,location 734,-event_type 11 - event_type 15 - ,-feature 203 - feature 71 - feature 193 - feature 82 - ,-16 - 7 - 4 - 20 - ,-resource_type 8 - ,-severity_type 1 - ,2
6776,location 652,-event_type 15 - event_type 11 - ,-feature 80 - feature 201 - ,-2 - 3 - ,-resource_type 8 - ,-severity_type 1 - ,1
10302,location 282,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-2 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,1
14130,location 532,-event_type 29 - event_type 30 - event_type 27 - event_type 10 - ,-feature 132 - feature 152 - feature 153 - feature 240 - feature 218 - feature 154 - feature 39 - feature 38 - feature 133 - ,-2 - 1 - 5 - 9 - 1 - 2 - 2 - 5 - 2 - ,-resource_type 3 - resource_type 9 - ,-severity_type 1 - ,1
16779,location 744,-event_type 13 - ,-feature 345 - feature 273 - ,-1 - 1 - ,-resource_type 6 - ,-severity_type 1 - ,1
