11066,location 481,-event_type 35 - event_type 34 - ,-feature 230 - feature 310 - feature 228 - feature 308 - ,-24 - 28 - 20 - 26 - ,-resource_type 2 - ,-severity_type 2 - 
14653,location 373,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-3 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
7771,location 490,-event_type 34 - event_type 35 - ,-feature 235 - feature 315 - ,-2 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
12164,location 488,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-83 - 79 - ,-resource_type 2 - ,-severity_type 2 - 
2095,location 891,-event_type 11 - ,-feature 73 - ,-8 - ,-resource_type 8 - ,-severity_type 1 - 
17254,location 457,-event_type 21 - ,-feature 220 - ,-1 - ,-resource_type 2 - ,-severity_type 1 - 
15836,location 1052,-event_type 11 - event_type 15 - ,-feature 203 - feature 80 - feature 201 - feature 82 - ,-22 - 6 - 8 - 22 - ,-resource_type 8 - ,-severity_type 1 - 
2958,location 124,-event_type 35 - event_type 34 - ,-feature 313 - feature 232 - feature 315 - feature 235 - feature 233 - feature 312 - ,-2 - 2 - 2 - 2 - 1 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
10670,location 1084,-event_type 32 - ,-feature 280 - ,-1 - ,-resource_type 8 - ,-severity_type 4 - 
14699,location 734,-event_type 11 - event_type 54 - event_type 15 - ,-feature 71 - feature 193 - feature 82 - feature 203 - ,-15 - 5 - 21 - 10 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - 
3995,location 1052,-event_type 11 - event_type 15 - ,-feature 82 - feature 80 - feature 201 - ,-8 - 4 - 3 - ,-resource_type 8 - ,-severity_type 1 - 
16838,location 437,-event_type 34 - event_type 11 - ,-feature 211 - feature 160 - ,-1 - 2 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - 
12118,location 326,-event_type 34 - event_type 35 - ,-feature 310 - feature 228 - feature 308 - feature 230 - ,-1 - 4 - 4 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
14748,location 957,-event_type 11 - ,-feature 70 - feature 191 - ,-1 - 2 - ,-resource_type 8 - ,-severity_type 2 - 
7459,location 938,-event_type 11 - ,-feature 81 - feature 202 - ,-4 - 4 - ,-resource_type 8 - ,-severity_type 1 - 
1898,location 457,-event_type 34 - event_type 35 - ,-feature 316 - feature 233 - feature 313 - feature 312 - feature 232 - feature 315 - feature 235 - feature 236 - ,-8 - 38 - 36 - 4 - 5 - 18 - 8 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
15229,location 752,-event_type 11 - ,-feature 171 - feature 55 - ,-1 - 2 - ,-resource_type 8 - ,-severity_type 1 - 
13051,location 155,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-10 - 10 - ,-resource_type 2 - ,-severity_type 2 - 
5718,location 494,-event_type 34 - event_type 35 - ,-feature 315 - feature 232 - feature 313 - feature 312 - feature 233 - ,-1 - 62 - 48 - 58 - 44 - ,-resource_type 2 - ,-severity_type 2 - 
5420,location 793,-event_type 11 - ,-feature 195 - feature 73 - ,-8 - 12 - ,-resource_type 8 - ,-severity_type 1 - 
15434,location 1019,-event_type 15 - event_type 11 - ,-feature 82 - feature 203 - feature 74 - feature 80 - feature 196 - ,-17 - 5 - 1 - 2 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
82,location 831,-event_type 11 - ,-feature 68 - feature 209 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
14477,location 476,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-10 - 10 - ,-resource_type 2 - ,-severity_type 2 - 
510,location 1063,-event_type 11 - ,-feature 73 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - 
8237,location 894,-event_type 44 - event_type 42 - event_type 43 - ,-feature 283 - feature 368 - feature 291 - feature 376 - feature 375 - ,-3 - 2 - 1 - 2 - 2 - ,-resource_type 2 - ,-severity_type 1 - 
11561,location 845,-event_type 15 - ,-feature 82 - ,-44 - ,-resource_type 8 - ,-severity_type 2 - 
8356,location 962,-event_type 15 - ,-feature 203 - feature 82 - ,-1 - 8 - ,-resource_type 8 - ,-severity_type 2 - 
10418,location 489,-event_type 35 - event_type 34 - ,-feature 232 - feature 316 - feature 234 - feature 308 - feature 233 - feature 312 - feature 314 - feature 313 - ,-5 - 3 - 6 - 1 - 22 - 13 - 11 - 25 - ,-resource_type 2 - ,-severity_type 2 - 
17957,location 638,-event_type 46 - event_type 50 - event_type 47 - ,-feature 285 - feature 370 - feature 33 - feature 284 - feature 121 - feature 369 - feature 374 - feature 122 - ,-8 - 89 - 1 - 9 - 3 - 3 - 1 - 18 - ,-resource_type 2 - ,-severity_type 1 - 
16076,location 585,-event_type 20 - ,-feature 134 - ,-1 - ,-resource_type 2 - ,-severity_type 1 - 
7626,location 699,-event_type 11 - ,-feature 170 - feature 209 - feature 207 - ,-5 - 1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
7624,location 103,-event_type 34 - event_type 35 - ,-feature 315 - feature 235 - ,-264 - 229 - ,-resource_type 2 - ,-severity_type 2 - 
4037,location 712,-event_type 11 - ,-feature 56 - feature 172 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
3845,location 467,-event_type 35 - event_type 34 - ,-feature 307 - feature 227 - feature 312 - feature 232 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
18022,location 949,-event_type 11 - ,-feature 54 - feature 170 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
15969,location 1050,-event_type 23 - event_type 22 - event_type 14 - event_type 13 - event_type 11 - event_type 20 - ,-feature 345 - feature 54 - feature 134 - feature 68 - feature 306 - feature 179 - feature 118 - feature 170 - feature 222 - ,-1 - 3 - 1 - 38 - 1 - 38 - 1 - 3 - 1 - ,-resource_type 2 - resource_type 4 - resource_type 6 - resource_type 7 - resource_type 8 - ,-severity_type 1 - 
18094,location 491,-event_type 35 - event_type 34 - ,-feature 235 - feature 315 - ,-8 - 7 - ,-resource_type 2 - ,-severity_type 2 - 
2128,location 242,-event_type 34 - event_type 35 - ,-feature 232 - feature 314 - feature 312 - feature 229 - feature 234 - feature 309 - ,-58 - 93 - 56 - 56 - 92 - 58 - ,-resource_type 2 - ,-severity_type 2 - 
17150,location 118,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-23 - 24 - ,-resource_type 2 - ,-severity_type 2 - 
11432,location 938,-event_type 54 - ,-feature 360 - ,-2 - ,-resource_type 2 - ,-severity_type 5 - 
17810,location 536,-event_type 11 - ,-feature 167 - feature 51 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
18458,location 1107,-event_type 11 - event_type 15 - ,-feature 203 - feature 71 - feature 82 - ,-5 - 1 - 48 - ,-resource_type 8 - ,-severity_type 1 - 
15087,location 726,-event_type 11 - ,-feature 68 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - 
7817,location 676,-event_type 11 - ,-feature 55 - feature 171 - ,-4 - 4 - ,-resource_type 8 - ,-severity_type 1 - 
2389,location 810,-event_type 15 - ,-feature 82 - ,-10 - ,-resource_type 8 - ,-severity_type 2 - 
2423,location 133,-event_type 34 - event_type 35 - ,-feature 232 - feature 233 - feature 313 - feature 227 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
17799,location 1054,-event_type 11 - ,-feature 73 - feature 195 - ,-3 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
9839,location 1076,-event_type 11 - event_type 15 - ,-feature 172 - feature 56 - ,-3 - 3 - ,-resource_type 8 - ,-severity_type 1 - 
10970,location 1007,-event_type 15 - event_type 11 - ,-feature 201 - feature 80 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
7695,location 242,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-7 - 7 - ,-resource_type 2 - ,-severity_type 2 - 
9979,location 1075,-event_type 15 - event_type 11 - ,-feature 82 - feature 63 - ,-8 - 2 - ,-resource_type 8 - ,-severity_type 1 - 
6743,location 1,-event_type 15 - ,-feature 82 - feature 80 - ,-2 - 1 - ,-resource_type 8 - ,-severity_type 2 - 
11265,location 816,-event_type 11 - ,-feature 68 - feature 170 - ,-3 - 1 - ,-resource_type 8 - ,-severity_type 2 - 
12928,location 924,-event_type 13 - ,-feature 273 - ,-1 - ,-resource_type 6 - ,-severity_type 1 - 
14826,location 193,-event_type 34 - event_type 35 - ,-feature 309 - feature 314 - feature 229 - feature 232 - feature 234 - feature 312 - ,-3 - 2 - 3 - 1 - 2 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
11069,location 846,-event_type 15 - ,-feature 203 - feature 82 - ,-9 - 32 - ,-resource_type 8 - ,-severity_type 2 - 
9315,location 756,-event_type 11 - ,-feature 170 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - 
10140,location 363,-event_type 34 - event_type 35 - event_type 11 - ,-feature 353 - feature 307 - feature 354 - feature 44 - feature 94 - feature 160 - feature 232 - ,-1 - 1 - 1 - 3 - 1 - 2 - 1 - ,-resource_type 2 - resource_type 8 - ,-severity_type 2 - 
6436,location 475,-event_type 35 - event_type 34 - ,-feature 314 - feature 234 - ,-7 - 7 - ,-resource_type 2 - ,-severity_type 2 - 
9374,location 734,-event_type 11 - event_type 15 - event_type 54 - ,-feature 193 - feature 71 - feature 82 - feature 203 - ,-1 - 1 - 15 - 2 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - 
13555,location 292,-event_type 34 - event_type 35 - ,-feature 233 - feature 313 - ,-3 - 3 - ,-resource_type 2 - ,-severity_type 2 - 
2429,location 283,-event_type 35 - event_type 34 - ,-feature 232 - feature 227 - feature 307 - feature 312 - ,-4 - 1 - 2 - 7 - ,-resource_type 2 - ,-severity_type 2 - 
1484,location 465,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-14 - 14 - ,-resource_type 2 - ,-severity_type 2 - 
12460,location 437,-event_type 20 - event_type 34 - event_type 35 - ,-feature 307 - feature 219 - feature 134 - feature 301 - feature 312 - feature 232 - ,-1 - 1 - 1 - 1 - 8 - 7 - ,-resource_type 2 - ,-severity_type 1 - 
1068,location 918,-event_type 11 - ,-feature 170 - ,-2 - ,-resource_type 8 - ,-severity_type 1 - 
16248,location 2,-event_type 11 - ,-feature 170 - feature 54 - feature 68 - ,-2 - 2 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
13855,location 707,-event_type 11 - event_type 15 - event_type 26 - ,-feature 193 - feature 71 - feature 276 - feature 349 - ,-13 - 58 - 3 - 3 - ,-resource_type 9 - resource_type 8 - ,-severity_type 1 - 
15018,location 128,-event_type 35 - event_type 34 - ,-feature 313 - feature 232 - feature 315 - feature 235 - feature 312 - feature 233 - ,-3 - 1 - 3 - 2 - 1 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
6370,location 526,-event_type 35 - event_type 34 - ,-feature 315 - feature 235 - feature 233 - feature 313 - ,-1 - 1 - 1 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
15574,location 925,-event_type 11 - ,-feature 68 - feature 170 - feature 54 - ,-2 - 2 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
2176,location 821,-event_type 15 - event_type 11 - ,-feature 201 - feature 82 - feature 203 - feature 80 - feature 71 - feature 193 - ,-4 - 2 - 1 - 2 - 1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
16158,location 480,-event_type 35 - event_type 34 - ,-feature 230 - feature 308 - feature 310 - feature 228 - ,-31 - 33 - 35 - 31 - ,-resource_type 2 - ,-severity_type 2 - 
16340,location 1086,-event_type 15 - ,-feature 203 - feature 82 - ,-2 - 2 - ,-resource_type 8 - ,-severity_type 2 - 
11283,location 128,-event_type 34 - event_type 35 - ,-feature 233 - feature 315 - feature 313 - feature 235 - ,-38 - 19 - 39 - 17 - ,-resource_type 2 - ,-severity_type 2 - 
10665,location 1107,-event_type 11 - event_type 15 - ,-feature 203 - feature 82 - feature 193 - feature 71 - ,-56 - 83 - 2 - 3 - ,-resource_type 8 - ,-severity_type 1 - 
17582,location 126,-event_type 35 - event_type 12 - event_type 34 - ,-feature 348 - feature 307 - feature 312 - feature 232 - feature 275 - feature 315 - feature 233 - feature 301 - feature 313 - feature 221 - feature 235 - ,-2 - 1 - 3 - 1 - 2 - 5 - 4 - 2 - 5 - 2 - 4 - ,-resource_type 2 - ,-severity_type 1 - 
4082,location 1066,-event_type 11 - event_type 22 - ,-feature 87 - feature 304 - ,-2 - 2 - ,-resource_type 8 - resource_type 7 - ,-severity_type 2 - 
3789,location 1019,-event_type 15 - ,-feature 82 - feature 203 - ,-43 - 38 - ,-resource_type 8 - ,-severity_type 2 - 
13583,location 921,-event_type 15 - ,-feature 80 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - 
18053,location 1075,-event_type 11 - event_type 15 - ,-feature 203 - feature 82 - ,-6 - 8 - ,-resource_type 8 - ,-severity_type 1 - 
8561,location 1067,-event_type 11 - ,-feature 54 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - 
5093,location 683,-event_type 11 - ,-feature 84 - feature 171 - feature 205 - feature 55 - ,-1 - 20 - 1 - 20 - ,-resource_type 8 - ,-severity_type 1 - 
13054,location 59,-event_type 11 - ,-feature 55 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - 
5780,location 460,-event_type 35 - ,-feature 312 - ,-1 - ,-resource_type 2 - ,-severity_type 4 - 
1796,location 899,-event_type 43 - event_type 50 - event_type 44 - event_type 42 - ,-feature 374 - feature 375 - feature 368 - feature 283 - feature 376 - feature 291 - feature 290 - ,-1 - 4 - 5 - 6 - 5 - 5 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
14789,location 818,-event_type 11 - ,-feature 54 - feature 170 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
13089,location 475,-event_type 34 - event_type 35 - ,-feature 232 - feature 307 - feature 227 - feature 312 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
2330,location 481,-event_type 34 - event_type 35 - ,-feature 310 - feature 308 - feature 230 - feature 228 - ,-26 - 24 - 23 - 22 - ,-resource_type 2 - ,-severity_type 2 - 
10731,location 211,-event_type 35 - ,-feature 312 - ,-1 - ,-resource_type 2 - ,-severity_type 4 - 
5565,location 488,-event_type 34 - event_type 35 - ,-feature 234 - feature 316 - feature 312 - feature 232 - feature 309 - feature 314 - feature 313 - feature 229 - feature 311 - ,-4 - 2 - 14 - 5 - 6 - 6 - 2 - 4 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
7909,location 1103,-event_type 5 - event_type 38 - event_type 7 - event_type 6 - ,-feature 8 - feature 317 - feature 141 - ,-1 - 4 - 1 - ,-resource_type 1 - resource_type 2 - ,-severity_type 1 - 
17761,location 451,-event_type 34 - event_type 35 - ,-feature 232 - feature 233 - feature 313 - feature 312 - ,-12 - 6 - 6 - 12 - ,-resource_type 2 - ,-severity_type 2 - 
508,location 434,-event_type 11 - ,-feature 181 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - 
8455,location 655,-event_type 15 - event_type 11 - event_type 3 - ,-feature 43 - feature 80 - feature 201 - feature 139 - ,-1 - 19 - 19 - 2 - ,-resource_type 8 - ,-severity_type 1 - 
5445,location 159,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-4 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
17689,location 995,-event_type 15 - ,-feature 82 - ,-6 - ,-resource_type 8 - ,-severity_type 2 - 
9958,location 1104,-event_type 11 - event_type 15 - ,-feature 201 - feature 80 - ,-1 - 2 - ,-resource_type 8 - ,-severity_type 1 - 
17158,location 107,-event_type 34 - event_type 35 - ,-feature 232 - feature 301 - feature 312 - ,-1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
6653,location 619,-event_type 11 - ,-feature 170 - feature 103 - feature 54 - ,-128 - 2 - 183 - ,-resource_type 8 - ,-severity_type 1 - 
6844,location 912,-event_type 11 - ,-feature 170 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - 
13694,location 641,-event_type 44 - event_type 42 - ,-feature 368 - feature 376 - ,-4 - 4 - ,-resource_type 2 - ,-severity_type 4 - 
8863,location 1084,-event_type 11 - ,-feature 182 - feature 207 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
9674,location 489,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-26 - 18 - ,-resource_type 2 - ,-severity_type 2 - 
9568,location 808,-event_type 15 - event_type 11 - ,-feature 71 - feature 193 - ,-9 - 3 - ,-resource_type 8 - ,-severity_type 1 - 
11668,location 600,-event_type 15 - event_type 11 - ,-feature 82 - feature 203 - ,-14 - 10 - ,-resource_type 8 - ,-severity_type 1 - 
8365,location 696,-event_type 11 - ,-feature 54 - feature 170 - ,-17 - 5 - ,-resource_type 8 - ,-severity_type 1 - 
14668,location 1018,-event_type 15 - ,-feature 71 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - 
2760,location 837,-event_type 23 - event_type 14 - event_type 11 - ,-feature 306 - feature 68 - ,-2 - 2 - ,-resource_type 4 - resource_type 7 - resource_type 8 - ,-severity_type 2 - 
5813,location 479,-event_type 35 - event_type 34 - event_type 11 - ,-feature 307 - feature 232 - feature 160 - feature 211 - feature 94 - feature 227 - feature 312 - feature 44 - ,-3 - 2 - 2 - 1 - 1 - 2 - 3 - 3 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - 
11900,location 477,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-32 - 30 - ,-resource_type 2 - ,-severity_type 2 - 
9443,location 1034,-event_type 11 - ,-feature 54 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - 
8068,location 1100,-event_type 11 - event_type 15 - ,-feature 203 - feature 82 - feature 71 - feature 193 - ,-40 - 69 - 2 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
16954,location 821,-event_type 15 - ,-feature 82 - feature 203 - feature 193 - feature 71 - feature 201 - ,-4 - 3 - 1 - 1 - 1 - ,-resource_type 8 - ,-severity_type 2 - 
8589,location 963,-event_type 11 - ,-feature 195 - feature 73 - ,-2 - 2 - ,-resource_type 8 - ,-severity_type 1 - 
5779,location 769,-event_type 11 - ,-feature 170 - feature 68 - ,-3 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
1458,location 126,-event_type 35 - event_type 34 - ,-feature 233 - feature 312 - feature 227 - feature 235 - feature 307 - feature 116 - feature 315 - feature 313 - feature 232 - ,-12 - 5 - 1 - 48 - 3 - 133 - 82 - 13 - 5 - ,-resource_type 2 - ,-severity_type 2 - 
11957,location 373,-event_type 34 - event_type 35 - ,-feature 315 - feature 232 - feature 233 - feature 312 - feature 313 - ,-4 - 25 - 5 - 23 - 6 - ,-resource_type 2 - ,-severity_type 2 - 
13260,location 1008,-event_type 15 - ,-feature 82 - feature 203 - ,-30 - 19 - ,-resource_type 8 - ,-severity_type 2 - 
5987,location 810,-event_type 54 - event_type 15 - ,-feature 82 - feature 203 - ,-34 - 6 - ,-resource_type 8 - ,-severity_type 1 - 
10413,location 460,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-18 - 18 - ,-resource_type 2 - ,-severity_type 2 - 
9116,location 1109,-event_type 11 - event_type 13 - ,-feature 345 - feature 68 - feature 179 - ,-4 - 4 - 4 - ,-resource_type 6 - resource_type 8 - ,-severity_type 1 - 
1669,location 938,-event_type 54 - ,-feature 362 - feature 360 - ,-1 - 2 - ,-resource_type 2 - ,-severity_type 4 - 
2407,location 1026,-event_type 11 - event_type 13 - ,-feature 68 - feature 273 - ,-2 - 1 - ,-resource_type 6 - resource_type 8 - ,-severity_type 1 - 
613,location 122,-event_type 34 - event_type 35 - ,-feature 233 - feature 313 - feature 235 - feature 312 - feature 315 - ,-2 - 4 - 1 - 2 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
16974,location 126,-event_type 34 - event_type 35 - ,-feature 233 - feature 235 - feature 315 - feature 312 - feature 232 - feature 313 - ,-5 - 1 - 1 - 5 - 5 - 5 - ,-resource_type 2 - ,-severity_type 2 - 
4697,location 472,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-5 - 4 - ,-resource_type 2 - ,-severity_type 2 - 
174,location 1061,-event_type 15 - event_type 11 - ,-feature 82 - feature 203 - feature 80 - feature 201 - ,-13 - 2 - 2 - 2 - ,-resource_type 8 - ,-severity_type 1 - 
10734,location 844,-event_type 11 - ,-feature 204 - feature 182 - feature 83 - feature 62 - ,-2 - 1 - 2 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
635,location 846,-event_type 11 - event_type 15 - ,-feature 82 - feature 71 - feature 193 - ,-101 - 1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
18351,location 734,-event_type 15 - event_type 11 - ,-feature 193 - feature 203 - feature 71 - feature 82 - ,-2 - 6 - 1 - 12 - ,-resource_type 8 - ,-severity_type 1 - 
5374,location 793,-event_type 11 - ,-feature 73 - feature 195 - ,-6 - 5 - ,-resource_type 8 - ,-severity_type 2 - 
1301,location 485,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - feature 235 - ,-15 - 13 - 3 - ,-resource_type 2 - ,-severity_type 2 - 
2609,location 822,-event_type 15 - ,-feature 172 - feature 56 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 2 - 
3159,location 601,-event_type 22 - ,-feature 303 - ,-1 - ,-resource_type 7 - ,-severity_type 4 - 
7593,location 497,-event_type 35 - event_type 34 - ,-feature 233 - feature 313 - feature 315 - feature 312 - feature 232 - ,-49 - 60 - 4 - 85 - 148 - ,-resource_type 2 - ,-severity_type 2 - 
13524,location 803,-event_type 20 - event_type 11 - ,-feature 170 - feature 182 - feature 85 - feature 207 - feature 206 - feature 134 - feature 54 - feature 68 - feature 219 - ,-35 - 1 - 3 - 2 - 3 - 3 - 21 - 7 - 2 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - 
6349,location 401,-event_type 20 - event_type 35 - event_type 34 - ,-feature 219 - feature 301 - feature 221 - feature 134 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
17205,location 137,-event_type 35 - event_type 34 - ,-feature 227 - feature 313 - feature 307 - feature 232 - feature 312 - ,-2 - 1 - 3 - 2 - 4 - ,-resource_type 2 - ,-severity_type 2 - 
13351,location 793,-event_type 11 - ,-feature 73 - feature 195 - ,-29 - 22 - ,-resource_type 8 - ,-severity_type 1 - 
5354,location 264,-event_type 11 - event_type 35 - ,-feature 94 - feature 44 - ,-1 - 1 - ,-resource_type 8 - resource_type 2 - ,-severity_type 2 - 
639,location 32,-event_type 29 - ,-feature 217 - feature 132 - ,-4 - 4 - ,-resource_type 9 - ,-severity_type 1 - 
8543,location 544,-event_type 54 - ,-feature 359 - ,-1 - ,-resource_type 2 - ,-severity_type 1 - 
5421,location 707,-event_type 20 - event_type 15 - event_type 30 - ,-feature 133 - feature 218 - feature 219 - feature 134 - feature 71 - ,-1 - 1 - 1 - 1 - 2 - ,-resource_type 8 - resource_type 9 - resource_type 2 - ,-severity_type 1 - 
11486,location 465,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-64 - 59 - ,-resource_type 2 - ,-severity_type 2 - 
1622,location 1085,-event_type 20 - ,-feature 134 - feature 219 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
6151,location 478,-event_type 34 - ,-feature 234 - ,-1 - ,-resource_type 2 - ,-severity_type 2 - 
16641,location 495,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-25 - 25 - ,-resource_type 2 - ,-severity_type 2 - 
15702,location 814,-event_type 11 - ,-feature 70 - feature 191 - ,-11 - 7 - ,-resource_type 8 - ,-severity_type 1 - 
6681,location 882,-event_type 11 - ,-feature 161 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - 
2223,location 1032,-event_type 11 - ,-feature 207 - feature 170 - feature 182 - ,-1 - 5 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
8725,location 798,-event_type 15 - ,-feature 82 - feature 203 - ,-10 - 4 - ,-resource_type 8 - ,-severity_type 2 - 
12562,location 833,-event_type 11 - event_type 20 - ,-feature 171 - feature 134 - ,-1 - 1 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - 
11133,location 1019,-event_type 15 - ,-feature 82 - feature 203 - ,-12 - 3 - ,-resource_type 8 - ,-severity_type 2 - 
16558,location 1030,-event_type 11 - ,-feature 54 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - 
2919,location 793,-event_type 11 - ,-feature 195 - feature 73 - ,-2 - 2 - ,-resource_type 8 - ,-severity_type 2 - 
9742,location 619,-event_type 11 - ,-feature 54 - feature 103 - feature 170 - feature 20 - ,-471 - 54 - 121 - 12 - ,-resource_type 8 - ,-severity_type 1 - 
4944,location 989,-event_type 11 - ,-feature 68 - feature 54 - ,-28 - 1 - ,-resource_type 8 - ,-severity_type 2 - 
222,location 1008,-event_type 15 - ,-feature 203 - feature 201 - feature 82 - feature 80 - ,-2 - 1 - 4 - 3 - ,-resource_type 8 - ,-severity_type 2 - 
2964,location 763,-event_type 15 - ,-feature 203 - feature 82 - ,-31 - 44 - ,-resource_type 8 - ,-severity_type 2 - 
9683,location 786,-event_type 11 - ,-feature 170 - feature 54 - ,-2 - 2 - ,-resource_type 8 - ,-severity_type 1 - 
523,location 917,-event_type 11 - ,-feature 54 - feature 170 - ,-24 - 21 - ,-resource_type 8 - ,-severity_type 1 - 
17884,location 734,-event_type 15 - event_type 11 - event_type 20 - ,-feature 82 - feature 219 - feature 193 - feature 71 - feature 203 - ,-17 - 1 - 2 - 1 - 8 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - 
9085,location 815,-event_type 11 - ,-feature 167 - feature 51 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
425,location 467,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-2 - 4 - ,-resource_type 2 - ,-severity_type 2 - 
1292,location 458,-event_type 20 - ,-feature 219 - ,-1 - ,-resource_type 2 - ,-severity_type 1 - 
14852,location 106,-event_type 35 - event_type 34 - event_type 20 - ,-feature 221 - feature 219 - feature 301 - feature 134 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
4067,location 1079,-event_type 18 - event_type 13 - event_type 11 - ,-feature 273 - feature 249 - feature 68 - feature 328 - ,-1 - 1 - 1 - 1 - ,-resource_type 10 - resource_type 6 - resource_type 8 - ,-severity_type 1 - 
11296,location 282,-event_type 34 - event_type 35 - ,-feature 227 - feature 312 - feature 313 - feature 232 - feature 307 - ,-1 - 2 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
13123,location 962,-event_type 15 - ,-feature 203 - feature 82 - ,-5 - 12 - ,-resource_type 8 - ,-severity_type 2 - 
287,location 948,-event_type 11 - event_type 14 - ,-feature 163 - ,-1 - ,-resource_type 4 - resource_type 8 - ,-severity_type 1 - 
760,location 1067,-event_type 11 - ,-feature 54 - feature 170 - ,-5 - 3 - ,-resource_type 8 - ,-severity_type 1 - 
14644,location 124,-event_type 34 - event_type 35 - ,-feature 233 - feature 232 - feature 307 - feature 235 - feature 315 - feature 313 - feature 312 - ,-4 - 3 - 1 - 3 - 3 - 4 - 3 - ,-resource_type 2 - ,-severity_type 2 - 
